movieid,detail,genres,poster_image,release_date,title
21,"한때는 명예로운 기사였지만, 어떤 사건 이후 홀가, 사이먼, 포지와 함께 도적질을 하게 된 에드긴. 소피나의 제안으로 부활의 서판을 얻기 위해 코린의 성에 잠입하지만 포지와 소피나의 배신으로 실패하고 감옥에 갇힌다. 기발한 방법으로 탈옥에 성공한 에드긴과 홀가는 소중한 사람들과 다시 만나고, 부활의 서판도 되찾기 위해  자신만의 팀을 꾸리기 시작한다. 옛 동료인 소질 없는 소서러 사이먼과 새롭게 합류한 변신 천재 드루이드 도릭, 재미 빼고 다 가진 팔라딘 젠크까지 어딘가 2% 부족한 오합지졸로 가득한 이 팀, 과연 무사히 모험을 끝마칠 수 있을까?",Adventure|Fantasy|Comedy,https://image.tmdb.org/t/p/w200/eg4vGqZo1BpjY3ZoCUAGk09Pq7T.jpg,2023-03-23,던전 앤 드래곤: 도적들의 명예
22,,Romance|Drama|Comedy,https://image.tmdb.org/t/p/w200/bwdLflvCcOCRPqb1x13KPuYIzVx.jpg,2023-04-04,Beautiful Disaster
23,"정년 보장 + 평생 직장의 대가는 밤낮없는 24시간 FULL 근무? 사내 복지는 만성 피로, 불면증, 소화불량, 짙은 다크서클입니다! 불멸의 삶과 폭발적인 힘의 대가는 악당용 배민이 되는 것?! ‘드라큘라’에게 취업 사기를 당하고 24시간 밤낮없이 그에게 순결한 제물을 바치는 직속비서 ‘렌필드’는 남들과 다른 특별한 꼰대 상사에 점차 피폐해져 간다. 그러던 어느 날, 여느 때처럼 ‘드라큘라’에게 바칠 제물을 찾던 중 자신의 인생을 뒤바꿔줄 친구 ‘레베카’를 만나게 되고 지금껏 가슴 한 켠에 숨 죽여 있었던 퇴사의 희망을 발견하게 되는데.. 과연 퇴사 없는 종신계약에서 ‘렌필드’는 벗어날 수 있을까?  슈퍼 을(乙) ‘렌필드’, 자네 꿈이 뭔가? “이 지독한 관계에서 벗어나고 싶어요! 퇴사하겠습니다!”",Horror|Comedy|Action,https://image.tmdb.org/t/p/w200/wJXgQ3FgVIyVUwdoaKoeobET3po.jpg,2023-04-07,렌필드
24,"272kg의 거구로 세상을 거부한 채 살아가는 대학 강사 찰리는 남은 시간이 얼마 없음을 느끼고 오랫동안 만나지 못한 10대 딸 엘리를 집으로 초대한다. 그리고, 매일 자신을 찾아와 에세이 한 편을 완성하면 전 재산을 주겠다고 제안한다.",Drama,https://image.tmdb.org/t/p/w200/q0xV5Lnq30JiegbVGBOvVwrgUDT.jpg,2022-12-09,더 웨일
25,1985년 마약 밀매업자의 비행기 추락 사고로 인해 비행기에 실려있던 코카인이 조지아주 채터후치 국유림에 떨어지고 코카인을 손에 넣기 위한 마약상들과 관광객들이 코카인을 먹은 흑곰에 의해 처참하게 죽임을 당한다는 내용의 실화를 바탕으로 한 영화,Thriller|Comedy|Crime,https://image.tmdb.org/t/p/w200/gOnmaxHo0412UVr1QM5Nekv1xPi.jpg,2023-02-22,코카인 베어
26,,Action|Adventure|Comedy,https://image.tmdb.org/t/p/w200/lv1WqAo2ulQy9aSOG7ikR44p8RR.jpg,2023-04-27,폴라이트 소사이어티
27,"우주 비행 중 행성과의 치명적인 충돌이 일어난 후, 조종사 밀스와 유일한 탑승 생존자 코아는 6,500만 년 전 공룡의 시대 지구에 불시착한다.  모든 것이 위험과 죽음과 맞닿아 있는 상황, 그들은 거대한 행성과의 충돌 전, 반드시 지구를 탈출해야만 한다!",Science Fiction|Adventure|Triller,https://image.tmdb.org/t/p/w200/o9ItQpKVvhGcAcJFyIpFM7YYKuv.jpg,2023-03-02,65
28,어릴 적 친구로부터 버림받은 곰돌이 ‘푸’와 ‘피글렛’  참을 수 없는 분노와 배신감을 느끼며 잔혹한 복수를 시작한다.,Horror|Thriller,https://image.tmdb.org/t/p/w200/fcCbzcEbAEQ5gWzx7EX78qLEVFw.jpg,2023-01-27,곰돌이 푸: 피와 꿀
29,고대 세 명의 미라가 고고학자 카나비 경이 훔친 왕실 소유의 오래된 반지를 찾기 위해 런던으로 떠난 여정을 그린 애니메이션,Animation|Comedy|Adventure|Fantasy,https://image.tmdb.org/t/p/w200/g5vkJAPj4XFlaOXZMYE97LZ7lns.jpg,2023-01-05,머미즈
30,,Romance|Science Fiction|Fantasy|Comedy,https://image.tmdb.org/t/p/w200/yf7aXA3qC3MA5fqnBmnFsrdZDDN.jpg,2023-05-19,로보츠
